agrupacion_nombre,sum votos_cantidad,circuito_id,seccion_nombre
JUNTOS POR EL CAMBIO,2797,00012,1
JUNTOS POR EL CAMBIO,3563,00013,1
JUNTOS POR EL CAMBIO,1390,00014,1
JUNTOS POR EL CAMBIO,1924,00015,1
JUNTOS POR EL CAMBIO,2007,00016,1
JUNTOS POR EL CAMBIO,3332,00017,1
JUNTOS POR EL CAMBIO,1604,00018,1
JUNTOS POR EL CAMBIO,2438,00019,1
JUNTOS POR EL CAMBIO,5024,00020,2
JUNTOS POR EL CAMBIO,5059,00021,2
JUNTOS POR EL CAMBIO,7053,00022,2
JUNTOS POR EL CAMBIO,8723,00023,2
JUNTOS POR EL CAMBIO,5679,00024,2
JUNTOS POR EL CAMBIO,6102,00025,2
JUNTOS POR EL CAMBIO,8305,00026,2
JUNTOS POR EL CAMBIO,5246,00027,2
JUNTOS POR EL CAMBIO,6851,00028,2
JUNTOS POR EL CAMBIO,4512,00029,2
JUNTOS POR EL CAMBIO,3650,00030,3
JUNTOS POR EL CAMBIO,3946,00031,3
JUNTOS POR EL CAMBIO,3329,00032,3
JUNTOS POR EL CAMBIO,2410,00033,3
JUNTOS POR EL CAMBIO,4245,00034,3
JUNTOS POR EL CAMBIO,3295,00035,3
JUNTOS POR EL CAMBIO,2049,00036,3
JUNTOS POR EL CAMBIO,3021,00037,3
JUNTOS POR EL CAMBIO,3562,00038,3
JUNTOS POR EL CAMBIO,3559,00039,3
JUNTOS POR EL CAMBIO,3078,00040,3
JUNTOS POR EL CAMBIO,5015,00041,3
JUNTOS POR EL CAMBIO,4491,00042,3
JUNTOS POR EL CAMBIO,3697,00043,4
JUNTOS POR EL CAMBIO,2686,00044,4
JUNTOS POR EL CAMBIO,1836,00045,4
JUNTOS POR EL CAMBIO,1724,00046,4
JUNTOS POR EL CAMBIO,2424,00047,4
JUNTOS POR EL CAMBIO,4044,00048,4
JUNTOS POR EL CAMBIO,3054,00049,4
JUNTOS POR EL CAMBIO,4795,00050,4
JUNTOS POR EL CAMBIO,3601,00051,4
JUNTOS POR EL CAMBIO,2563,00052,4
JUNTOS POR EL CAMBIO,3218,00053,4
JUNTOS POR EL CAMBIO,4251,00054,4
JUNTOS POR EL CAMBIO,2247,00055,4
JUNTOS POR EL CAMBIO,2166,00056,4
JUNTOS POR EL CAMBIO,5077,00057,4
JUNTOS POR EL CAMBIO,4121,00058,5
JUNTOS POR EL CAMBIO,3777,00059,5
JUNTOS POR EL CAMBIO,4974,00060,5
JUNTOS POR EL CAMBIO,4857,00061,5
JUNTOS POR EL CAMBIO,3087,00062,5
JUNTOS POR EL CAMBIO,6430,00063,5
JUNTOS POR EL CAMBIO,6840,00064,5
JUNTOS POR EL CAMBIO,4505,00065,5
JUNTOS POR EL CAMBIO,4414,00066,5
JUNTOS POR EL CAMBIO,6580,00067,5
JUNTOS POR EL CAMBIO,6929,00068,6
JUNTOS POR EL CAMBIO,11849,00069,6
JUNTOS POR EL CAMBIO,9379,00070,6
JUNTOS POR EL CAMBIO,12314,00071,6
JUNTOS POR EL CAMBIO,4289,00072,6
JUNTOS POR EL CAMBIO,6027,00073,6
JUNTOS POR EL CAMBIO,10072,00074,6
JUNTOS POR EL CAMBIO,3656,00075,7
JUNTOS POR EL CAMBIO,5818,00076,7
JUNTOS POR EL CAMBIO,3882,00077,7
JUNTOS POR EL CAMBIO,3105,00078,7
JUNTOS POR EL CAMBIO,4114,00079,7
JUNTOS POR EL CAMBIO,4882,00080,7
JUNTOS POR EL CAMBIO,4663,00081,7
JUNTOS POR EL CAMBIO,4762,00082,7
JUNTOS POR EL CAMBIO,8223,00083,7
JUNTOS POR EL CAMBIO,3648,00084,7
JUNTOS POR EL CAMBIO,2910,00085,7
JUNTOS POR EL CAMBIO,5988,00086,7
JUNTOS POR EL CAMBIO,6024,00087,8
JUNTOS POR EL CAMBIO,4880,00088,8
JUNTOS POR EL CAMBIO,11548,00089,8
JUNTOS POR EL CAMBIO,10467,00090,8
JUNTOS POR EL CAMBIO,1857,00091,9
JUNTOS POR EL CAMBIO,3904,00092,9
JUNTOS POR EL CAMBIO,2125,00093,9
JUNTOS POR EL CAMBIO,2956,00094,9
JUNTOS POR EL CAMBIO,5310,00095,9
JUNTOS POR EL CAMBIO,3307,00096,9
JUNTOS POR EL CAMBIO,3089,00097,9
JUNTOS POR EL CAMBIO,7250,00098,9
JUNTOS POR EL CAMBIO,3970,00099,9
JUNTOS POR EL CAMBIO,5157,00100,9
JUNTOS POR EL CAMBIO,5505,00101,9
JUNTOS POR EL CAMBIO,5005,00102,10
JUNTOS POR EL CAMBIO,4200,00103,10
JUNTOS POR EL CAMBIO,3668,00104,10
JUNTOS POR EL CAMBIO,6460,00105,10
JUNTOS POR EL CAMBIO,3942,00106,10
JUNTOS POR EL CAMBIO,6675,00107,10
JUNTOS POR EL CAMBIO,3896,00108,10
JUNTOS POR EL CAMBIO,5924,00109,10
JUNTOS POR EL CAMBIO,3162,00110,10
JUNTOS POR EL CAMBIO,3530,00111,10
JUNTOS POR EL CAMBIO,2608,00112,10
JUNTOS POR EL CAMBIO,3994,00113,11
JUNTOS POR EL CAMBIO,5752,00114,11
JUNTOS POR EL CAMBIO,3792,00115,11
JUNTOS POR EL CAMBIO,5589,00116,11
JUNTOS POR EL CAMBIO,6506,00117,11
JUNTOS POR EL CAMBIO,5479,00118,11
JUNTOS POR EL CAMBIO,6934,00119,11
JUNTOS POR EL CAMBIO,7371,00120,11
JUNTOS POR EL CAMBIO,5773,00121,11
JUNTOS POR EL CAMBIO,6009,00122,11
JUNTOS POR EL CAMBIO,5531,00123,11
JUNTOS POR EL CAMBIO,5723,00124,12
JUNTOS POR EL CAMBIO,8135,00125,12
JUNTOS POR EL CAMBIO,6689,00126,12
JUNTOS POR EL CAMBIO,10781,00127,12
JUNTOS POR EL CAMBIO,7690,00128,12
JUNTOS POR EL CAMBIO,10778,00129,12
JUNTOS POR EL CAMBIO,6910,00130,12
JUNTOS POR EL CAMBIO,2136,00131,12
JUNTOS POR EL CAMBIO,7305,00132,12
JUNTOS POR EL CAMBIO,8232,00133,12
JUNTOS POR EL CAMBIO,3895,00134,13
JUNTOS POR EL CAMBIO,5421,00135,13
JUNTOS POR EL CAMBIO,6102,00136,13
JUNTOS POR EL CAMBIO,5827,00137,13
JUNTOS POR EL CAMBIO,12845,00138,13
JUNTOS POR EL CAMBIO,8278,00139,13
JUNTOS POR EL CAMBIO,3573,00140,13
JUNTOS POR EL CAMBIO,6488,00141,13
JUNTOS POR EL CAMBIO,12741,00142,13
JUNTOS POR EL CAMBIO,8158,00143,13
JUNTOS POR EL CAMBIO,3944,00144,13
JUNTOS POR EL CAMBIO,5995,00145,13
JUNTOS POR EL CAMBIO,4125,00146,13
JUNTOS POR EL CAMBIO,9323,00147,13
JUNTOS POR EL CAMBIO,10619,00148,14
JUNTOS POR EL CAMBIO,12160,00149,14
JUNTOS POR EL CAMBIO,6574,00150,14
JUNTOS POR EL CAMBIO,12860,00151,14
JUNTOS POR EL CAMBIO,9299,00152,14
JUNTOS POR EL CAMBIO,9392,00153,14
JUNTOS POR EL CAMBIO,10478,00154,14
JUNTOS POR EL CAMBIO,9019,00155,14
JUNTOS POR EL CAMBIO,3252,00156,14
JUNTOS POR EL CAMBIO,5547,00157,14
JUNTOS POR EL CAMBIO,6591,00158,15
JUNTOS POR EL CAMBIO,3838,00159,15
JUNTOS POR EL CAMBIO,7478,00160,15
JUNTOS POR EL CAMBIO,6273,00161,15
JUNTOS POR EL CAMBIO,4551,00162,15
JUNTOS POR EL CAMBIO,3297,00163,15
JUNTOS POR EL CAMBIO,3833,00164,15
JUNTOS POR EL CAMBIO,6907,00165,15
JUNTOS POR EL CAMBIO,5255,00166,15
JUNTOS POR EL CAMBIO,4830,00167,15
LA LIBERTAD AVANZA,894,00001,1
LA LIBERTAD AVANZA,858,00002,1
LA LIBERTAD AVANZA,362,00003,1
LA LIBERTAD AVANZA,251,00004,1
LA LIBERTAD AVANZA,1792,00005,1
LA LIBERTAD AVANZA,1368,00006,1
LA LIBERTAD AVANZA,741,00007,1
LA LIBERTAD AVANZA,917,00008,1
LA LIBERTAD AVANZA,1361,00009,1
LA LIBERTAD AVANZA,1179,00010,1
LA LIBERTAD AVANZA,1328,00011,1
LA LIBERTAD AVANZA,988,00012,1
LA LIBERTAD AVANZA,1347,00013,1
LA LIBERTAD AVANZA,582,00014,1
LA LIBERTAD AVANZA,800,00015,1
LA LIBERTAD AVANZA,794,00016,1
LA LIBERTAD AVANZA,1387,00017,1
LA LIBERTAD AVANZA,869,00018,1
LA LIBERTAD AVANZA,1225,00019,1
LA LIBERTAD AVANZA,987,00020,2
LA LIBERTAD AVANZA,755,00021,2
LA LIBERTAD AVANZA,1128,00022,2
LA LIBERTAD AVANZA,1558,00023,2
LA LIBERTAD AVANZA,1032,00024,2
LA LIBERTAD AVANZA,1029,00025,2
LA LIBERTAD AVANZA,1443,00026,2
LA LIBERTAD AVANZA,1116,00027,2
LA LIBERTAD AVANZA,1639,00028,2
LA LIBERTAD AVANZA,892,00029,2
LA LIBERTAD AVANZA,1195,00030,3
LA LIBERTAD AVANZA,1526,00031,3
LA LIBERTAD AVANZA,1036,00032,3
LA LIBERTAD AVANZA,1046,00033,3
LA LIBERTAD AVANZA,1792,00034,3
LA LIBERTAD AVANZA,1444,00035,3
LA LIBERTAD AVANZA,949,00036,3
LA LIBERTAD AVANZA,1129,00037,3
LA LIBERTAD AVANZA,1289,00038,3
LA LIBERTAD AVANZA,1296,00039,3
LA LIBERTAD AVANZA,913,00040,3
LA LIBERTAD AVANZA,1919,00041,3
LA LIBERTAD AVANZA,1526,00042,3
LA LIBERTAD AVANZA,1190,00043,4
LA LIBERTAD AVANZA,823,00044,4
LA LIBERTAD AVANZA,778,00045,4
LA LIBERTAD AVANZA,834,00046,4
LA LIBERTAD AVANZA,2322,00047,4
LA LIBERTAD AVANZA,1122,00048,4
LA LIBERTAD AVANZA,1235,00049,4
LA LIBERTAD AVANZA,1119,00050,4
LA LIBERTAD AVANZA,923,00051,4
LA LIBERTAD AVANZA,1392,00052,4
LA LIBERTAD AVANZA,1593,00053,4
LA LIBERTAD AVANZA,1581,00054,4
LA LIBERTAD AVANZA,1171,00055,4
LA LIBERTAD AVANZA,1154,00056,4
LA LIBERTAD AVANZA,2287,00057,4
LA LIBERTAD AVANZA,1393,00058,5
LA LIBERTAD AVANZA,1215,00059,5
LA LIBERTAD AVANZA,1302,00060,5
LA LIBERTAD AVANZA,1247,00061,5
LA LIBERTAD AVANZA,978,00062,5
LA LIBERTAD AVANZA,1802,00063,5
LA LIBERTAD AVANZA,1943,00064,5
LA LIBERTAD AVANZA,1298,00065,5
LA LIBERTAD AVANZA,1248,00066,5
LA LIBERTAD AVANZA,1707,00067,5
LA LIBERTAD AVANZA,1480,00068,6
LA LIBERTAD AVANZA,2324,00069,6
LA LIBERTAD AVANZA,2110,00070,6
LA LIBERTAD AVANZA,2580,00071,6
LA LIBERTAD AVANZA,1155,00072,6
LA LIBERTAD AVANZA,1300,00073,6
LA LIBERTAD AVANZA,2007,00074,6
LA LIBERTAD AVANZA,903,00075,7
LA LIBERTAD AVANZA,1444,00076,7
LA LIBERTAD AVANZA,1346,00077,7
LA LIBERTAD AVANZA,1269,00078,7
LA LIBERTAD AVANZA,1417,00079,7
LA LIBERTAD AVANZA,1140,00080,7
LA LIBERTAD AVANZA,1161,00081,7
LA LIBERTAD AVANZA,1545,00082,7
LA LIBERTAD AVANZA,1815,00083,7
LA LIBERTAD AVANZA,1169,00084,7
LA LIBERTAD AVANZA,734,00085,7
LA LIBERTAD AVANZA,5674,00086,7
LA LIBERTAD AVANZA,4491,00087,8
LA LIBERTAD AVANZA,1977,00088,8
LA LIBERTAD AVANZA,7484,00089,8
LA LIBERTAD AVANZA,5924,00090,8
LA LIBERTAD AVANZA,1936,00091,9
LA LIBERTAD AVANZA,1787,00092,9
LA LIBERTAD AVANZA,935,00093,9
LA LIBERTAD AVANZA,1109,00094,9
LA LIBERTAD AVANZA,1901,00095,9
LA LIBERTAD AVANZA,1539,00096,9
LA LIBERTAD AVANZA,1325,00097,9
LA LIBERTAD AVANZA,2349,00098,9
LA LIBERTAD AVANZA,1133,00099,9
LA LIBERTAD AVANZA,1425,00100,9
LA LIBERTAD AVANZA,1751,00101,9
LA LIBERTAD AVANZA,1333,00102,10
LA LIBERTAD AVANZA,1377,00103,10
LA LIBERTAD AVANZA,1126,00104,10
LA LIBERTAD AVANZA,1682,00105,10
LA LIBERTAD AVANZA,1099,00106,10
LA LIBERTAD AVANZA,1861,00107,10
LA LIBERTAD AVANZA,1119,00108,10
LA LIBERTAD AVANZA,1845,00109,10
LA LIBERTAD AVANZA,913,00110,10
LA LIBERTAD AVANZA,1389,00111,10
LA LIBERTAD AVANZA,965,00112,10
LA LIBERTAD AVANZA,1300,00113,11
LA LIBERTAD AVANZA,1568,00114,11
LA LIBERTAD AVANZA,1122,00115,11
LA LIBERTAD AVANZA,1583,00116,11
LA LIBERTAD AVANZA,1600,00117,11
LA LIBERTAD AVANZA,1405,00118,11
